#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION
/storage/work/mnk5428/Dr.Zack/Assemblies/V350197172_L01_68_assembly.fasta	1	379327	383188	eccC3	2-3881/3993	========/======	44/92	95.79	75.72	vfdb	NP_214798
/storage/work/mnk5428/Dr.Zack/Assemblies/V350197172_L01_68_assembly.fasta	1	385542	385826	esxH	1-285/291	===============	0/0	97.94	77.19	vfdb	NP_214802
/storage/work/mnk5428/Dr.Zack/Assemblies/V350197172_L01_68_assembly.fasta	1	710220	710909	phoP	55-744/744	.==============	0/0	92.74	81.45	vfdb	NP_215271
/storage/work/mnk5428/Dr.Zack/Assemblies/V350197172_L01_68_assembly.fasta	1	711363	712312	phoR	421-1370/1458	....===========	0/0	65.16	75.79	vfdb	NP_215272
/storage/work/mnk5428/Dr.Zack/Assemblies/V350197172_L01_68_assembly.fasta	10	72762	73633	fbpC	122-978/1023	.=======/======	5/21	83.48	78.29	vfdb	YP_177694
/storage/work/mnk5428/Dr.Zack/Assemblies/V350197172_L01_68_assembly.fasta	10	179320	179455	icl	825-960/1287	.........===...	0/0	10.57	78.68	vfdb	YP_177728
/storage/work/mnk5428/Dr.Zack/Assemblies/V350197172_L01_68_assembly.fasta	11	160611	161895	icl	1-1285/1287	========/======	2/2	99.77	86.16	vfdb	YP_177728
/storage/work/mnk5428/Dr.Zack/Assemblies/V350197172_L01_68_assembly.fasta	11	167616	168230	hbhA	18-599/600	========/======	10/47	95.83	75.08	vfdb	NP_214989
/storage/work/mnk5428/Dr.Zack/Assemblies/V350197172_L01_68_assembly.fasta	14	86130	86326	mbtH	1-197/216	========/=====.	2/2	90.74	77.27	vfdb	NP_216893
/storage/work/mnk5428/Dr.Zack/Assemblies/V350197172_L01_68_assembly.fasta	18	5206	5426	erp	1-230/855	====..../......	4/13	25.61	75.43	vfdb	NP_218327
/storage/work/mnk5428/Dr.Zack/Assemblies/V350197172_L01_68_assembly.fasta	18	13660	14617	fbpA	41-986/1017	========/======	10/26	92.33	75.44	vfdb	NP_218321
/storage/work/mnk5428/Dr.Zack/Assemblies/V350197172_L01_68_assembly.fasta	2	478632	479909	mbtC	12-1289/1335	========/======	7/12	95.28	75.16	vfdb	NP_216898
/storage/work/mnk5428/Dr.Zack/Assemblies/V350197172_L01_68_assembly.fasta	2	494161	494364	mbtH	2-205/216	===============	0/0	94.44	81.86	vfdb	NP_216893
/storage/work/mnk5428/Dr.Zack/Assemblies/V350197172_L01_68_assembly.fasta	2	905228	905376	phzS	865-1013/1209	..........===..	0/0	12.32	77.18	vfdb	NP_252907
/storage/work/mnk5428/Dr.Zack/Assemblies/V350197172_L01_68_assembly.fasta	26	3831	3946	pvdL	7696-7811/13029	........=......	0/0	0.89	79.31	vfdb	NP_251114
/storage/work/mnk5428/Dr.Zack/Assemblies/V350197172_L01_68_assembly.fasta	3	516936	517075	mbtL	167-306/321	.......========	0/0	43.61	79.29	vfdb	NP_215860
/storage/work/mnk5428/Dr.Zack/Assemblies/V350197172_L01_68_assembly.fasta	3	518712	519826	mbtN	19-1133/1161	========/======	4/8	95.69	75.87	vfdb	NP_215862
/storage/work/mnk5428/Dr.Zack/Assemblies/V350197172_L01_68_assembly.fasta	3	560597	561481	fbpA	92-970/1017	.=======/======	8/24	85.55	76.96	vfdb	NP_218321
/storage/work/mnk5428/Dr.Zack/Assemblies/V350197172_L01_68_assembly.fasta	4	422804	425056	relA	117-2369/2373	========/======	2/2	94.90	83.76	vfdb	NP_217099
/storage/work/mnk5428/Dr.Zack/Assemblies/V350197172_L01_68_assembly.fasta	4	562414	563101	ideR	1-691/693	========/======	3/7	98.99	81.67	vfdb	NP_217227
/storage/work/mnk5428/Dr.Zack/Assemblies/V350197172_L01_68_assembly.fasta	6	34322	36063	eccCb1	27-1762/1776	========/======	6/10	97.64	76.95	vfdb	NP_218388
/storage/work/mnk5428/Dr.Zack/Assemblies/V350197172_L01_68_assembly.fasta	6	36225	38320	eccCa1	1-2099/2244	========/======	7/11	93.23	79.89	vfdb	NP_218387
/storage/work/mnk5428/Dr.Zack/Assemblies/V350197172_L01_68_assembly.fasta	6	39764	41427	eccA1	60-1720/1722	========/======	3/5	96.40	76.76	vfdb	NP_218385
/storage/work/mnk5428/Dr.Zack/Assemblies/V350197172_L01_68_assembly.fasta	6	76330	76526	mbtH	1-197/216	==============.	0/0	91.20	76.65	vfdb	NP_216893
