#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION
/storage/work/mnk5428/Dr.Zack/Assemblies/V350197172_L01_66_assembly.fasta	1	772417	773448	tetA(48)	1-1032/1032	===============	0/0	100.00	88.37	card	KX531044.1:1-1033
/storage/work/mnk5428/Dr.Zack/Assemblies/V350197172_L01_66_assembly.fasta	1	773445	774260	tetB(48)	1-816/816	===============	0/0	100.00	89.09	card	KX531045.1:1-817
/storage/work/mnk5428/Dr.Zack/Assemblies/V350197172_L01_66_assembly.fasta	1	953321	955254	TaeA	1-1943/1947	========/======	1/9	99.33	89.24	card	KX531049.1:1-1948
/storage/work/mnk5428/Dr.Zack/Assemblies/V350197172_L01_66_assembly.fasta	10	378730	379656	mphI	1-927/927	===============	0/0	100.00	84.90	card	KX531056.1:1-928
/storage/work/mnk5428/Dr.Zack/Assemblies/V350197172_L01_66_assembly.fasta	11	215910	216597	mtrA	1-688/688	===============	0/0	100.00	85.47	card	AL123456:3626663-3627350
/storage/work/mnk5428/Dr.Zack/Assemblies/V350197172_L01_66_assembly.fasta	11	400092	400511	Erm(38)	742-1162/1163	......../======	2/3	36.03	85.55	card	AY154657:1-1162
/storage/work/mnk5428/Dr.Zack/Assemblies/V350197172_L01_66_assembly.fasta	13	176891	178080	Streptomyces_cinnamoneus_EF-Tu_mutants_conferring_resistance_to_elfamycin	1-1193/1194	========/======	6/9	99.41	83.03	card	X98831.1:362-1556
/storage/work/mnk5428/Dr.Zack/Assemblies/V350197172_L01_66_assembly.fasta	13	296043	296469	arr-1	4-430/432	===============	0/0	98.84	81.27	card	AF001493:1-433
/storage/work/mnk5428/Dr.Zack/Assemblies/V350197172_L01_66_assembly.fasta	15	317448	318679	tet(V)	25-1250/1260	========/======	4/8	97.22	82.89	card	AF030344:1-1261
/storage/work/mnk5428/Dr.Zack/Assemblies/V350197172_L01_66_assembly.fasta	18	184545	185138	AAC(2')-Ib	1-588/589	========/======	2/6	99.83	84.85	card	U41471:265-853
/storage/work/mnk5428/Dr.Zack/Assemblies/V350197172_L01_66_assembly.fasta	18	184545	185090	AAC(2')-Ic	1-531/547	========/======	7/19	96.71	76.46	card	AL123456:314309-314855
/storage/work/mnk5428/Dr.Zack/Assemblies/V350197172_L01_66_assembly.fasta	2	791458	792321	LlmA_23S_ribosomal_RNA_methyltransferase	1-864/864	===============	0/0	100.00	89.47	card	KX531046.1:1-865
/storage/work/mnk5428/Dr.Zack/Assemblies/V350197172_L01_66_assembly.fasta	23	71940	73152	tap	1-1213/1231	===============	0/0	98.54	87.39	card	AJ000283:620-1850
/storage/work/mnk5428/Dr.Zack/Assemblies/V350197172_L01_66_assembly.fasta	23	179782	181028	Mycobacterium_tuberculosis_intrinsic_murA_conferring_resistance_to_fosfomycin	6-1252/1257	===============	0/0	99.20	80.59	card	HE608151:1472986-1474243
/storage/work/mnk5428/Dr.Zack/Assemblies/V350197172_L01_66_assembly.fasta	24	141265	142723	efpA	126-1587/1593	.=======/======	6/11	91.34	77.35	card	NC_000962.3:3153039-3154632
/storage/work/mnk5428/Dr.Zack/Assemblies/V350197172_L01_66_assembly.fasta	24	171777	172661	TLE_beta-lactamase	1-885/885	===============	0/0	100.00	93.45	card	L25634:1274-2159
/storage/work/mnk5428/Dr.Zack/Assemblies/V350197172_L01_66_assembly.fasta	24	172140	172351	LRA-1	314-525/889	.....====......	0/0	23.85	75.00	card	EU408346:4826-5714
/storage/work/mnk5428/Dr.Zack/Assemblies/V350197172_L01_66_assembly.fasta	26	40260	41300	cipA	1-1041/1041	===============	0/0	100.00	97.98	card	NC_013406.1:3931127-3932168
/storage/work/mnk5428/Dr.Zack/Assemblies/V350197172_L01_66_assembly.fasta	26	118158	120775	rphB	1-2654/2655	========/======	4/48	98.38	81.54	card	KX531052.1:1-2656
/storage/work/mnk5428/Dr.Zack/Assemblies/V350197172_L01_66_assembly.fasta	3	795777	796425	CatU	1-649/654	========/======	2/4	98.93	76.50	card	KX531047.1:1-655
/storage/work/mnk5428/Dr.Zack/Assemblies/V350197172_L01_66_assembly.fasta	4	589975	591480	lrfA	1-1506/1515	===============	0/0	99.41	81.54	card	U40487.1:171-1686
/storage/work/mnk5428/Dr.Zack/Assemblies/V350197172_L01_66_assembly.fasta	5	274971	275439	cpaA	1-469/486	===============	0/0	96.50	81.02	card	KX531054.1:1-487
/storage/work/mnk5428/Dr.Zack/Assemblies/V350197172_L01_66_assembly.fasta	6	204594	206851	BahA	2-2259/2259	===============	0/0	99.96	82.59	card	KX531048.1:1-2260
/storage/work/mnk5428/Dr.Zack/Assemblies/V350197172_L01_66_assembly.fasta	6	423678	424399	AAC(2')-IIb	1-716/723	========/======	6/10	98.76	75.55	card	KX531051.1:1-724
/storage/work/mnk5428/Dr.Zack/Assemblies/V350197172_L01_66_assembly.fasta	7	248553	249443	VgbC	1-891/891	===============	0/0	100.00	86.19	card	KX531055.1:1-892
/storage/work/mnk5428/Dr.Zack/Assemblies/V350197172_L01_66_assembly.fasta	7	613523	614096	AAC(6')-34	13-587/594	========/======	1/1	96.63	90.44	card	KX531053.1:1-595
/storage/work/mnk5428/Dr.Zack/Assemblies/V350197172_L01_66_assembly.fasta	8	82700	83031	RbpA	1-332/345	===============	0/0	96.23	90.96	card	HQ203032:1-346
/storage/work/mnk5428/Dr.Zack/Assemblies/V350197172_L01_66_assembly.fasta	9	6763	7428	vanRO	36-701/703	===============	0/0	94.74	80.33	card	KF478993:6003-6705
